Candidate Name,Citizenship,Degree(s) Attained,Ethnicity,Gender,Languages,Position Type,Position Level,Professional Association,Religion,Experience,Position Start Year,School,City,County,Country,State,US Region,Grade Level
Steven Johnson,United Kingdom,Ph.D.,Other,Female,"German, French",Learning Director,Senior,"NAIS, ASCD",Other,12 years,2024,Pruitt Inc School,Oconnorbury,South Donna County,Qatar,Kansas,South,Middle
Dr. Diana Wallace,American Samoa,Ph.D.,Black,Non-binary,Arabic,Principal,Senior,ACSD,Christian,10 years,2000,Cline-Wallace School,West Deborahland,North Mariamouth County,Seychelles,Indiana,South,K-12
Michelle King,Guinea-Bissau,B.A.,White,Female,"English, Mandarin, German",Learning Director,Junior,ACSD,Muslim,16 years,2009,"Johnson, Sutton and Harrison School",Ballardview,Lake Karastad County,Djibouti,North Carolina,South,Middle
Donald King,Saint Martin,M.S.,Hispanic,Non-binary,"German, Arabic, Mandarin",Principal,Mid,"NACAC, ASCD",Hindu,1 years,1991,"Mayer, Barnett and Gonzalez School",South Alicia,Cooperchester County,Colombia,Ohio,Northeast,Middle
Crystal Powell,South Georgia and the South Sandwich Islands,MBA,Black,Female,"Spanish, Mandarin, German",HR Manager,Senior,NAIS,Hindu,5 years,2022,"Allen, Thornton and Sanchez School",Carlfurt,Jasonberg County,Reunion,Utah,West,Middle
Melanie Gray,Russian Federation,Ed.D.,White,Non-binary,"Hindi, Hindi, English",Learning Director,Junior,NAIS,Muslim,24 years,1997,"Edwards, Hubbard and Fuller School",West Katherinebury,Weaverborough County,Congo,Florida,West,High
Richard Mcpherson,Zambia,M.A.,Hispanic,Male,"Hindi, Hindi",Academic Dean,Senior,"ASCD, NAIS",Other,4 years,2015,"Patterson, Johnson and Stewart School",Stewartfort,Port William County,Guinea-Bissau,Rhode Island,South,Elementary
Ryan Heath,Northern Mariana Islands,B.S.,Black,Female,"Mandarin, Mandarin, French",Academic Dean,Junior,ASCD,Jewish,9 years,1999,Burton PLC School,East Barbara,East Tyler County,Bhutan,Ohio,Northeast,Elementary
Lauren Holland,Slovakia (Slovak Republic),Ph.D.,Hispanic,Non-binary,"Spanish, Arabic, Spanish",HR Manager,Junior,ASCD,Other,6 years,2001,"Garcia, Goodman and Goodwin School",South Richard,Mcfarlandchester County,Falkland Islands (Malvinas),Alaska,Midwest,Elementary
Taylor Rubio,Dominican Republic,B.A.,Hispanic,Male,Spanish,Principal,Senior,"NACAC, ASCD",Hindu,11 years,2008,Holt-Hudson School,New Shelby,Timothyside County,Dominican Republic,Pennsylvania,West,Middle
Kathleen Castro,Saint Martin,B.A.,Black,Non-binary,"English, Arabic",Principal,Mid,"NACAC, ASCD",Christian,15 years,2001,Figueroa and Sons School,Michaelfort,New Stevenhaven County,Saint Vincent and the Grenadines,Hawaii,Northeast,High
Jeremy Jones,Philippines,MBA,Black,Female,German,Academic Dean,Mid,NAIS,Other,10 years,2025,Miller-Martinez School,Mendeztown,West James County,Swaziland,Utah,Midwest,Elementary
Mark Byrd,Argentina,B.A.,Native American,Non-binary,"French, Hindi, Arabic",Athletic Director,Junior,ACSD,Christian,29 years,2018,"Keith, Jordan and West School",West Michelleport,South Leslie County,Montenegro,Alaska,West,Elementary
Robin Fisher,Kiribati,Ph.D.,Native American,Non-binary,"German, Spanish",HR Manager,Mid,NACAC,Jewish,25 years,2020,Fischer and Sons School,Justinport,Harriston County,Slovakia (Slovak Republic),Nevada,South,Middle
Amy Powell,Timor-Leste,Ph.D.,Other,Female,"English, English",HR Manager,Senior,NAIS,Muslim,11 years,2017,Gill LLC School,Basstown,North Julia County,French Guiana,Nevada,Northeast,Middle
Roger Stone,Tajikistan,M.S.,Hispanic,Non-binary,Hindi,Academic Dean,Mid,ASCD,Hindu,26 years,2014,"Tyler, Barnes and Boone School",Lake Scott,Karabury County,San Marino,Virginia,Midwest,Middle
Donald Carter,Bolivia,M.A.,Black,Female,English,HR Manager,Senior,ACSD,Muslim,10 years,2025,"Saunders, Gonzales and Simpson School",Ericport,Port Alexandrabury County,Burundi,Tennessee,Midwest,K-12
Sabrina Jimenez,Chile,MBA,Black,Male,"English, Arabic, Spanish",HR Manager,Senior,NACAC,Muslim,11 years,2012,"Nicholson, Morgan and Schwartz School",Andrewstad,New Roberta County,Pakistan,Louisiana,Northeast,Elementary
William Smith,Congo,M.S.,White,Male,"Spanish, Mandarin",Principal,Senior,"ASCD, NACAC",Other,4 years,1997,Serrano PLC School,South Sandrahaven,Millertown County,Marshall Islands,Wyoming,Midwest,Elementary
Christy Macdonald,Poland,M.A.,Hispanic,Non-binary,"English, French, Mandarin",HR Manager,Senior,"ACSD, ASCD",Christian,7 years,1984,Bowman Ltd School,Nancychester,South Kimberly County,Wallis and Futuna,Virginia,South,High
Brady Jimenez,Spain,Ed.D.,Hispanic,Non-binary,Mandarin,Athletic Director,Mid,"ASCD, NACAC",Jewish,4 years,2000,"Freeman, Thomas and Hall School",North Kennethfort,Port Gregoryville County,Guinea-Bissau,Kansas,Northeast,High
Michelle Johnson,Uzbekistan,B.S.,Hispanic,Non-binary,"French, Arabic",Principal,Senior,"NAIS, ASCD",Muslim,2 years,1981,Schmidt Ltd School,Port Natalie,Wyattshire County,Costa Rica,California,West,K-12
Ana Raymond,Peru,Ed.D.,Native American,Female,"English, French, German",Athletic Director,Mid,NAIS,Christian,12 years,2014,"Becker, Wall and Stephens School",South Nancymouth,North Susan County,Morocco,California,West,Middle
Colton Moore,Dominican Republic,B.S.,Hispanic,Male,"Arabic, Mandarin",Athletic Director,Mid,"ACSD, ASCD",Other,22 years,1984,Allen-Smith School,North Paultown,West Anthony County,Luxembourg,Michigan,West,Middle
Christine Klein,Israel,B.S.,Black,Female,"French, English, Spanish",Athletic Director,Junior,NAIS,Muslim,4 years,2024,Ramirez Inc School,Port Laurenmouth,Youngborough County,Macedonia,Georgia,South,K-12
Sandra Dodson,Macao,B.S.,White,Male,"German, French",Learning Director,Mid,"ACSD, ASCD",Muslim,12 years,1993,"Christensen, Turner and Lopez School",Clarkport,Julieborough County,Samoa,Louisiana,Northeast,K-12
Angela Shaw,Namibia,M.A.,Black,Non-binary,"Hindi, German",HR Manager,Junior,"ASCD, NAIS",Hindu,12 years,1987,"Barrera, Rhodes and Ross School",Brendanmouth,Lake Jessicaview County,Christmas Island,Montana,West,High
Philip Mann,Singapore,B.A.,Black,Non-binary,Arabic,HR Manager,Junior,NACAC,Christian,22 years,2021,Martin LLC School,Williamsfurt,Port Russell County,Kiribati,Colorado,Midwest,Elementary
Rachael Warner,Slovenia,M.S.,Native American,Female,"English, German, German",Learning Director,Senior,ASCD,Jewish,10 years,2010,"Fischer, Lynch and Sanders School",Amyfurt,Adamchester County,Cyprus,Massachusetts,Northeast,Elementary
Matthew Rodriguez,Armenia,B.S.,Native American,Non-binary,"French, French, English",Principal,Junior,"ASCD, NACAC",Hindu,22 years,2023,Johnson Ltd School,South Robert,New Marissa County,Uruguay,South Carolina,Northeast,Elementary
Rose Thomas,Libyan Arab Jamahiriya,B.A.,Hispanic,Female,Mandarin,Academic Dean,Junior,NAIS,Christian,18 years,1995,Saunders and Sons School,East Dannybury,Jodystad County,Cayman Islands,South Carolina,Northeast,High
Christina Black,Sao Tome and Principe,B.S.,Black,Male,Spanish,Principal,Junior,"NACAC, ACSD",Muslim,22 years,2005,Young-Thompson School,South Robertburgh,New Christine County,British Virgin Islands,Indiana,West,K-12
Brittany Morgan,Uganda,M.S.,Native American,Non-binary,"Hindi, Mandarin",Athletic Director,Junior,ASCD,Muslim,4 years,1981,"Doyle, Hester and Johnston School",Lake Michellemouth,Tammyview County,Ecuador,Arkansas,South,Middle
Deborah Miller,Suriname,B.S.,Hispanic,Female,Hindi,Learning Director,Senior,NAIS,Jewish,9 years,2025,Valencia and Sons School,Blackmouth,Rebeccamouth County,Estonia,Vermont,West,High
Brenda Cox,Turkmenistan,M.S.,Asian,Male,"Arabic, English",Athletic Director,Junior,"ACSD, NAIS",Hindu,26 years,2006,Morris-Velez School,Deckerport,New Kelseytown County,Bolivia,Massachusetts,South,High
Victoria Torres,Christmas Island,Ph.D.,Native American,Male,French,Principal,Mid,"ACSD, ASCD",Other,13 years,2003,"Perez, Larson and Mclaughlin School",Yustad,Lake Allen County,Samoa,Florida,West,Elementary
Eric Caldwell,Costa Rica,M.A.,White,Non-binary,English,Academic Dean,Mid,"NAIS, NACAC",Hindu,2 years,1991,Diaz-Nelson School,Tammytown,New Deniseview County,Lithuania,Georgia,Northeast,Elementary
Julie Williams,Niue,Ph.D.,Black,Female,Arabic,Academic Dean,Junior,ASCD,Hindu,16 years,2021,"Barrett, Ball and Cervantes School",Richardsonfurt,East Tammy County,Mexico,Pennsylvania,South,Middle
Dr. Allison Herring,Falkland Islands (Malvinas),Ed.D.,Native American,Male,"French, Hindi, Spanish",Academic Dean,Junior,"ACSD, ASCD",Christian,14 years,2020,"Gonzalez, Walker and Perry School",Hollandfort,Zhangstad County,Korea,Louisiana,South,K-12
Allison Barrett,Tunisia,MBA,Hispanic,Female,Spanish,Academic Dean,Mid,ASCD,Other,12 years,2017,Palmer LLC School,West Leslie,Lynnchester County,Egypt,New York,Midwest,High
Peter Harris,Palau,B.A.,Asian,Male,"Spanish, English",Athletic Director,Mid,NACAC,Jewish,6 years,2018,Smith-Montoya School,Port Thomastown,South Lauren County,Bouvet Island (Bouvetoya),Maine,South,High
Sheri Tucker,France,B.A.,Native American,Non-binary,"Spanish, French",Athletic Director,Senior,NAIS,Muslim,21 years,2004,Callahan and Sons School,New Scott,Espinozaville County,Zimbabwe,Oklahoma,South,Middle
Carlos Walker,Iran,Ph.D.,Asian,Male,"Spanish, Hindi",Academic Dean,Senior,"ACSD, NACAC",Muslim,24 years,2012,"Bullock, Mckay and Dunn School",South Lindatown,South Laurentown County,Montserrat,Maryland,Midwest,Middle
Mark Wright,Eritrea,Ph.D.,Other,Female,German,Principal,Junior,ACSD,Jewish,12 years,2009,Cruz Inc School,West Davidton,Johntown County,Georgia,New Jersey,South,Elementary
David Richardson,Macedonia,Ph.D.,White,Male,"French, French",Principal,Junior,ACSD,Christian,25 years,1987,"Wood, Greene and Cox School",Tammiechester,Blevinsmouth County,Tokelau,Missouri,Northeast,High
Nicole Davenport,Barbados,B.A.,Asian,Non-binary,Mandarin,Learning Director,Mid,NAIS,Hindu,21 years,2012,Haynes PLC School,New Allison,Lake Jenniferfurt County,Malta,California,South,High
Diana Whitney,Timor-Leste,B.S.,Black,Male,Arabic,Principal,Junior,"ASCD, NAIS",Christian,26 years,2021,Donaldson-Stuart School,North Kelly,Wilsonfurt County,Mali,Alaska,South,Middle
Patricia Krueger,San Marino,Ph.D.,Native American,Non-binary,German,HR Manager,Mid,ASCD,Jewish,23 years,1992,Gutierrez-Shelton School,West Richardport,Garyburgh County,Bangladesh,Iowa,West,Middle
Christine Johnson,French Southern Territories,B.A.,Asian,Male,French,Principal,Mid,NAIS,Muslim,27 years,1984,"Boyd, Ward and Hunter School",Port Joseberg,West Kenneth County,Morocco,Florida,Midwest,K-12
Tracy Pugh,New Caledonia,B.S.,Other,Non-binary,Spanish,Academic Dean,Senior,ASCD,Christian,15 years,1981,"Spencer, Ford and Ramirez School",East Alexashire,East Patricia County,Lesotho,New Jersey,Midwest,High
Mary Phillips,Austria,MBA,Asian,Non-binary,"German, Hindi, German",Athletic Director,Senior,"NACAC, ACSD",Other,25 years,2011,"Johnson, Benjamin and Reyes School",Lake Julialand,Loganburgh County,Chad,West Virginia,West,Elementary
Stephanie Barron,Puerto Rico,M.S.,Black,Non-binary,"Mandarin, French, Mandarin",Principal,Junior,ASCD,Hindu,11 years,2021,Dean Ltd School,Aaronberg,Port Robert County,Brazil,Hawaii,Midwest,High
Kimberly Salas,Denmark,Ph.D.,Asian,Female,Arabic,Learning Director,Junior,"NAIS, ASCD",Other,29 years,1987,Soto-Leonard School,Gabriellemouth,Hawkinston County,Norfolk Island,Illinois,South,Elementary
James Gross,Portugal,MBA,Asian,Female,Mandarin,HR Manager,Junior,ACSD,Muslim,17 years,1981,Hernandez Inc School,East Edwardland,Pattymouth County,Mauritius,Iowa,Northeast,Elementary
Joshua Allen,Falkland Islands (Malvinas),MBA,Native American,Male,"German, Spanish",Academic Dean,Senior,"ACSD, NACAC",Hindu,27 years,2023,Keller-Thomas School,Mclaughlinbury,Port Lindsayton County,Sierra Leone,North Carolina,Northeast,Elementary
Monique Calderon,Mauritania,B.S.,Native American,Male,"Spanish, Hindi, Spanish",Learning Director,Junior,NAIS,Other,13 years,2013,Williams-Riley School,Port Brian,North Lisa County,Taiwan,Kentucky,Northeast,Elementary
Monique Mcdaniel,Senegal,MBA,White,Male,"Arabic, Mandarin",HR Manager,Junior,"NAIS, NACAC",Muslim,8 years,1982,"Bernard, Fisher and Scott School",New Victoriaton,Torresberg County,Niger,North Dakota,Midwest,Middle
Rebecca Preston,Singapore,MBA,White,Non-binary,"Mandarin, French, Hindi",Learning Director,Senior,"ACSD, ASCD",Jewish,12 years,2004,Martinez-Kelly School,Kennethville,West Davidtown County,Reunion,Washington,South,K-12
Paul Carr,Western Sahara,B.S.,Other,Female,"English, Hindi",Academic Dean,Senior,"ASCD, NACAC",Other,22 years,1984,"Brown, Moore and Cook School",West Arielstad,New William County,Christmas Island,North Carolina,Midwest,Elementary
Christopher Carter,Equatorial Guinea,Ph.D.,Black,Non-binary,"Spanish, Hindi",Learning Director,Mid,"ASCD, NACAC",Muslim,26 years,1993,"Morris, Calhoun and Wallace School",North Brent,Nicoletown County,Congo,Kansas,South,K-12
Jennifer Goodman,Austria,MBA,Other,Male,"Mandarin, Hindi, Hindi",Principal,Junior,NACAC,Other,26 years,2002,"Hobbs, Brown and Mueller School",Port Seanfort,Gonzalezside County,Lesotho,Wyoming,Midwest,High
Alan Ward,Macedonia,M.S.,Black,Male,French,Principal,Senior,ACSD,Muslim,19 years,2000,Mcclure-Ray School,New Laceyside,East Laurafurt County,United States Minor Outlying Islands,Iowa,South,K-12
Kirk Jackson,Gabon,MBA,Native American,Non-binary,"French, Spanish, French",Learning Director,Mid,NACAC,Jewish,11 years,2000,Watkins LLC School,Burnsfort,East Dominique County,Colombia,Idaho,West,K-12
Jennifer Castro,Guernsey,M.A.,White,Female,"English, English",HR Manager,Junior,"NACAC, ASCD",Christian,23 years,2023,Jackson and Sons School,Mooreberg,Mooremouth County,Haiti,Illinois,West,High
Christopher Casey,Argentina,B.A.,Other,Female,"Mandarin, English, Mandarin",HR Manager,Junior,NAIS,Christian,21 years,1986,Robbins and Sons School,Andrewtown,Andrehaven County,Afghanistan,Kentucky,West,K-12
Sarah Stewart,Tokelau,Ph.D.,Asian,Male,"Mandarin, English, French",HR Manager,Mid,NACAC,Hindu,9 years,2007,Young-Thompson School,West Kennethside,West Feliciabury County,Austria,California,Midwest,K-12
Joan Joseph,Dominican Republic,M.A.,Asian,Male,"Mandarin, English, German",Principal,Senior,"NACAC, ASCD",Muslim,12 years,1982,Mcfarland-Taylor School,West Trevorview,West Michelle County,Mayotte,New Jersey,Midwest,Elementary
Crystal Martinez,United States Minor Outlying Islands,M.S.,Hispanic,Female,"Spanish, French",HR Manager,Mid,NAIS,Other,26 years,1982,"Davis, Wong and Taylor School",New David,New Jessica County,Liechtenstein,Kentucky,Midwest,High
Mr. James Hartman,Guinea,Ph.D.,Hispanic,Male,"French, Hindi, Arabic",Academic Dean,Junior,"ASCD, ACSD",Hindu,29 years,1996,"Parker, Burke and Jones School",West Sandratown,Susanchester County,South Georgia and the South Sandwich Islands,Maryland,West,K-12
Jose Taylor,Trinidad and Tobago,M.S.,White,Male,"Hindi, English",Learning Director,Mid,"NACAC, ACSD",Christian,4 years,2002,Chan LLC School,Clarktown,Barnettmouth County,Liechtenstein,Massachusetts,Northeast,Middle
Ricky Bennett,Estonia,Ed.D.,Native American,Non-binary,"English, French",Learning Director,Junior,NAIS,Muslim,5 years,1981,Freeman and Sons School,Kaylabury,Marshallside County,Guatemala,Connecticut,Northeast,Elementary
Carol Sharp,Gambia,M.A.,Black,Female,"Spanish, Spanish, German",Athletic Director,Senior,NACAC,Jewish,25 years,2015,"Hughes, Brown and Alvarez School",East James,Davidbury County,El Salvador,Oregon,West,High
Stacy Foster,Peru,Ph.D.,White,Female,"German, Spanish",HR Manager,Mid,ACSD,Other,24 years,2014,Morgan and Sons School,Lake Susan,New Ericaland County,Angola,Massachusetts,Midwest,High
Amber Thompson,Armenia,Ph.D.,Hispanic,Male,German,Athletic Director,Senior,ACSD,Other,22 years,2013,"Johnson, Gray and Barrett School",Medinaton,Craigside County,Oman,Alaska,South,High
Debra Wood,Guinea-Bissau,Ed.D.,Black,Male,English,Learning Director,Senior,"NAIS, NACAC",Other,2 years,2025,Cook-Lutz School,Lake Joyceport,Lake Amyshire County,Hong Kong,Maine,Midwest,K-12
Courtney Santos,Djibouti,M.A.,White,Male,German,HR Manager,Senior,ACSD,Jewish,27 years,1985,Reynolds Group School,New Neil,East Erik County,Zimbabwe,Oregon,Midwest,Elementary
David Santos,Aruba,MBA,White,Male,"English, Arabic",Academic Dean,Senior,ACSD,Christian,3 years,1986,Morris-Morton School,Lake Christopherbury,West Herbert County,Ethiopia,West Virginia,Northeast,Middle
Randy Barr,Aruba,MBA,Hispanic,Male,"Arabic, Mandarin",HR Manager,Mid,"NAIS, ASCD",Hindu,1 years,2021,Rogers LLC School,Port Blake,Lake Tylerville County,Malta,South Dakota,Midwest,Middle
Vanessa Wilson,Cameroon,MBA,Hispanic,Male,"French, Spanish",Athletic Director,Junior,"NAIS, ASCD",Jewish,20 years,2010,"Fitzpatrick, Washington and Logan School",East Sara,New Carlosfort County,French Guiana,Washington,South,High
Larry Miller,Slovenia,Ph.D.,Asian,Female,"French, Spanish",HR Manager,Mid,"NAIS, NACAC",Christian,17 years,1994,"Johnson, Peters and Fernandez School",Lisaland,West Patricia County,Zimbabwe,Rhode Island,Midwest,High
Pamela Welch,Colombia,Ed.D.,Other,Female,"Mandarin, Arabic, Mandarin",Athletic Director,Junior,ASCD,Hindu,1 years,1985,"Mitchell, Lucero and Patel School",Baldwinport,Aguirrechester County,Vietnam,Wisconsin,Northeast,K-12
Monica Long,Taiwan,Ed.D.,Black,Male,"Arabic, Spanish",Academic Dean,Junior,ACSD,Jewish,13 years,2014,"Green, Hayes and Buckley School",Drewfort,Belindahaven County,Philippines,Missouri,Northeast,High
Todd Mercer,Brunei Darussalam,MBA,Native American,Male,"German, Arabic, English",Principal,Junior,"ACSD, ASCD",Christian,14 years,2008,Martin-Francis School,Marystad,Rachelborough County,Sweden,Hawaii,Midwest,High
Kristy Murray,Tunisia,Ed.D.,Native American,Female,English,Principal,Senior,ACSD,Muslim,9 years,1999,"Fuentes, Moreno and Washington School",South Felicia,Ramirezville County,Tanzania,Nevada,South,Middle
Molly Barker,Saint Kitts and Nevis,B.S.,Hispanic,Male,"Hindi, German, Hindi",HR Manager,Senior,"ACSD, NACAC",Christian,4 years,2024,Stanley Group School,Lake Michelleland,Estesbury County,Holy See (Vatican City State),Delaware,Northeast,K-12
Tommy Green,Netherlands Antilles,B.S.,Black,Male,"Hindi, Spanish, English",Athletic Director,Junior,"NACAC, ACSD",Muslim,19 years,2017,"Mcgee, Clark and Allen School",Patrickfurt,Amandabury County,Western Sahara,Connecticut,Midwest,Elementary
Samuel Barr,Slovakia (Slovak Republic),B.S.,White,Female,"Hindi, German",HR Manager,Mid,"NAIS, ASCD",Other,3 years,2006,Ford-Knight School,Rebeccatown,Smithport County,Benin,Texas,West,High
Holly Norton,Saint Helena,MBA,White,Non-binary,"Hindi, Mandarin",Principal,Junior,ACSD,Hindu,11 years,2002,"Clark, Browning and Thompson School",Hollandshire,North Joshuabury County,Antarctica (the territory South of 60 deg S),Tennessee,Northeast,K-12
Jordan Anthony,Luxembourg,M.A.,Hispanic,Female,"Arabic, Mandarin",Learning Director,Senior,NACAC,Christian,29 years,2000,Lewis-Cruz School,East Toddbury,Port Cindy County,Slovenia,Vermont,Midwest,High
Sheena Flowers,Puerto Rico,M.A.,Black,Male,"Mandarin, Arabic, English",Academic Dean,Mid,NACAC,Other,24 years,1984,Bennett-Jackson School,Michaelburgh,East Graceburgh County,Samoa,Texas,Midwest,High
Dale Carter,Dominican Republic,M.S.,Other,Female,"English, French, Spanish",Principal,Junior,"NACAC, NAIS",Hindu,13 years,1996,Cook-Glass School,North Zacharyville,Johnshire County,Suriname,New Jersey,Midwest,Elementary
Daniel Schultz,Dominican Republic,B.S.,Asian,Non-binary,"German, Mandarin, Spanish",Athletic Director,Junior,"ACSD, NAIS",Hindu,16 years,2012,Lewis-Brown School,Smithtown,Allenside County,Sao Tome and Principe,South Carolina,Midwest,Middle
Kristine Novak,Sri Lanka,B.A.,Hispanic,Female,"German, French, Mandarin",Academic Dean,Mid,"NACAC, ACSD",Hindu,9 years,2010,Arnold-Bell School,Lake Rachel,West Tracy County,Micronesia,South Dakota,West,Middle
Denise Johnson,Swaziland,MBA,Black,Non-binary,"Mandarin, Spanish",Academic Dean,Junior,NAIS,Jewish,28 years,2021,"Walker, Cooke and Barrett School",Port Jane,Williamtown County,Cayman Islands,Minnesota,West,K-12
Justin Bennett,Brazil,B.S.,Asian,Male,"Hindi, Arabic",HR Manager,Junior,NACAC,Jewish,24 years,2009,"Brown, Rivera and Johns School",North Deborah,West Emma County,Bouvet Island (Bouvetoya),Ohio,South,K-12
Richard Stephens,United Arab Emirates,Ph.D.,Other,Female,"Spanish, German, Mandarin",Principal,Senior,NACAC,Hindu,10 years,2012,Anderson-Gibson School,Dickersonport,Craigborough County,Korea,Washington,West,High
Beth Boyd,Antarctica (the territory South of 60 deg S),B.S.,Black,Non-binary,"English, Mandarin",Learning Director,Junior,NACAC,Other,13 years,1984,"Turner, Sims and Haney School",East William,Hollandbury County,British Indian Ocean Territory (Chagos Archipelago),Massachusetts,Northeast,K-12
Joseph Hernandez,Qatar,B.S.,Native American,Non-binary,"Mandarin, Mandarin, French",HR Manager,Junior,"NACAC, NAIS",Hindu,9 years,2003,"Vang, Delacruz and Banks School",Jeremybury,Lunatown County,Cook Islands,Vermont,South,K-12
Shelly Barron,Malta,B.S.,White,Male,"Arabic, Hindi, Arabic",Principal,Junior,NACAC,Christian,21 years,2022,Salinas PLC School,Port Holly,South Susanmouth County,Indonesia,Kentucky,Midwest,Middle
David Frost,Trinidad and Tobago,B.A.,Other,Female,"French, German, German",Academic Dean,Junior,"NACAC, ASCD",Christian,30 years,2004,Todd Ltd School,West Elizabeth,West Karen County,Grenada,Texas,Northeast,Middle
Rebecca Scott,Central African Republic,B.S.,White,Male,"Hindi, German, Arabic",Principal,Junior,"NAIS, NACAC",Christian,1 years,1992,"Rodriguez, Brown and Morales School",Lanefort,Hudsonfurt County,Sao Tome and Principe,Alabama,South,K-12
Samantha Torres,British Virgin Islands,Ph.D.,Black,Male,Hindi,HR Manager,Junior,"ASCD, NACAC",Other,7 years,1999,"Ford, Sharp and Church School",New Carrie,Underwoodfurt County,Serbia,Georgia,South,K-12
Alexa Gray,Sweden,M.A.,Black,Male,Arabic,Principal,Senior,"NACAC, NAIS",Christian,7 years,2022,Barnett-Ball School,South Barbara,East Michelleshire County,Slovenia,Indiana,West,K-12
Shawn Cole,Zambia,B.S.,White,Non-binary,"Hindi, English, English",Academic Dean,Mid,"ASCD, NACAC",Hindu,18 years,2008,Evans-Garcia School,Annville,South Ashleyville County,Venezuela,Oregon,West,K-12
William Thomas,Gambia,M.A.,Native American,Male,"French, French",Academic Dean,Mid,"NACAC, ASCD",Christian,5 years,2015,"Ray, Grimes and Armstrong School",Dorothyberg,Stewartfort County,Reunion,Ohio,South,Middle
Laura Blanchard,Norfolk Island,M.S.,Black,Male,"Spanish, Arabic, French",Principal,Senior,"ACSD, NAIS",Hindu,14 years,2023,Newton LLC School,Tranton,Jasonside County,Bhutan,New York,West,Middle
Dana Woods,Namibia,Ed.D.,Hispanic,Male,"English, French, English",Academic Dean,Mid,"NAIS, ASCD",Christian,28 years,2003,"Garrett, Henson and Rice School",Lake David,Ayalaside County,Northern Mariana Islands,Georgia,West,Middle
Angela Kent,Philippines,Ph.D.,Black,Female,Mandarin,HR Manager,Mid,ACSD,Jewish,29 years,2007,Hayes Group School,New David,East Susanside County,Cape Verde,Rhode Island,West,K-12
Chad Davis,Macedonia,MBA,Asian,Male,"Spanish, German",HR Manager,Mid,"ASCD, NACAC",Hindu,5 years,2012,Bishop-Adams School,Olsonburgh,North Jeremyton County,British Virgin Islands,Washington,South,Middle
Adrian Deleon,Trinidad and Tobago,B.A.,Native American,Non-binary,"English, Arabic",Learning Director,Senior,"ACSD, NAIS",Jewish,7 years,1999,Harding-Lopez School,Jonesmouth,South Michelle County,Moldova,Indiana,Northeast,High
Aaron Diaz,Oman,B.A.,Native American,Male,Hindi,Learning Director,Mid,ACSD,Jewish,6 years,2000,Barr-Stewart School,Paulland,Stephenburgh County,Malawi,Georgia,West,K-12
Maurice Woodard,Armenia,M.A.,Asian,Male,"Hindi, Hindi, Hindi",Principal,Junior,"ASCD, NAIS",Christian,29 years,1985,"Jones, Miles and Wilson School",West Debrabury,New Gregory County,Ukraine,Alaska,Northeast,K-12
Joseph Brown,Bolivia,M.S.,Asian,Female,French,Learning Director,Mid,"ASCD, ACSD",Muslim,22 years,2012,Webb-Leach School,Paigemouth,Adamsstad County,Italy,Utah,West,Elementary
Suzanne Williams,Svalbard & Jan Mayen Islands,M.S.,Other,Male,"English, Hindi",Learning Director,Mid,ASCD,Other,24 years,2017,"Roberts, Diaz and White School",New Scott,Brianmouth County,Indonesia,Iowa,West,Middle
Brett King,Angola,B.S.,Other,Non-binary,"English, German, Hindi",Athletic Director,Mid,"ACSD, ASCD",Christian,16 years,2013,Bryan Inc School,South Andreastad,East Lauren County,Nigeria,Arizona,South,Elementary
Francisco Scott,Gambia,M.S.,White,Male,"Arabic, Arabic",Principal,Mid,"ASCD, NACAC",Other,11 years,2015,Ruiz and Sons School,West Marc,Savagemouth County,Bahamas,Alabama,South,Middle
Christian James,Belize,Ph.D.,Other,Male,"German, Spanish",HR Manager,Mid,"ASCD, NAIS",Muslim,16 years,2024,Walsh Inc School,West David,Kathyport County,Norway,North Carolina,South,Elementary
Greg Bishop,United States Minor Outlying Islands,B.S.,Other,Non-binary,"Arabic, English, Mandarin",Principal,Senior,NAIS,Muslim,21 years,2015,Miles LLC School,Port Gary,West Michelle County,Nauru,Ohio,West,Middle
Donna Moses,Holy See (Vatican City State),Ph.D.,Black,Female,"Arabic, Spanish, German",Learning Director,Senior,NACAC,Christian,14 years,1998,Smith-Mcdonald School,South Zacharymouth,East Johnmouth County,India,Colorado,Midwest,K-12
Colin Walters,Holy See (Vatican City State),M.S.,Black,Male,"Hindi, English, Spanish",HR Manager,Senior,"NAIS, ACSD",Hindu,29 years,2015,Warren Inc School,Port Luisville,East Natalie County,Croatia,Louisiana,South,High
Brent Le,Netherlands,B.A.,Hispanic,Female,German,Athletic Director,Mid,NACAC,Muslim,25 years,1996,Lambert-Calhoun School,Martinside,Williamstown County,Sao Tome and Principe,Wisconsin,Northeast,High
Daniel Edwards,France,M.S.,Other,Male,Arabic,HR Manager,Senior,"NACAC, ACSD",Other,13 years,2018,"Nash, Gomez and Watkins School",Port Latashahaven,Gravesville County,Cape Verde,West Virginia,West,Elementary
Jessica Harrison,Azerbaijan,M.A.,Native American,Non-binary,"Arabic, Mandarin, Spanish",HR Manager,Senior,"NACAC, NAIS",Muslim,1 years,1994,Nichols-Johns School,West Thomas,Matthewbury County,Guernsey,Missouri,South,High
George Lewis,Indonesia,M.A.,Native American,Male,"French, German, Arabic",Principal,Junior,ASCD,Hindu,8 years,2025,Perry PLC School,Port Coleton,West Victoria County,Bahamas,Connecticut,West,K-12
